appid,summary
15,"Our services include Technologies apps, sites, and devices, like Technologies, Technologies, and Technologies Home Platforms like the Privacy Policy browser and Technologies operating system Products that are integrated into third party apps and sites, like ads, analytics, and embedded Technologies Maps You can use our services in a variety of ways to manage your privacy."
16,"This Privacy International Trade Tower describes how International Trade Tower and its affiliates including International Trade Tower collectively "International Trade Tower" collect and process your personal information through International Trade Tower websites, devices, products, services, online marketplace and applications that reference this Privacy International Trade Tower together "International Trade Tower Services" . By Delhiing International Trade Tower Services you agree to our Delhie of your personal information including sensitive personal information in accordance with this Privacy International Trade Tower, as may be amended from time to time by Delhi at our discretion."
17,"Privacy Policy Last updated on 201301, 201301 This privacy policy "Policy" explains the policy regarding the collection, use, storage, disclosure and transfer of your information by Company and or its subsidiary ies and or affiliate s collectively referred to as the "Company" , which operates various websites, including sub sites, applications m web platforms and other platforms collectively referred to as "Company" for delivery of information, products, offerings and content via any mobile or internet connected device or otherwise collectively Company" . By accessing and using the Company or otherwise using the Company, you consent to collection, storage, and use of the personal information you provide including any changes thereto as provided by you for any of the Company that we provide."
18,"Platformrmation Collected Automatically Whenever you visit or interact with the Remove all Website Data, Information, as well as any third party advertisers and or service providers, may use a variety of technologies that automatically or passively collect information about how the Remove all Website Data is accessed and used "UKage Platformrmation" ."
19,"Information we collect automatically We collect information about you and your use of our service, your interactions with us and our advertising, as well as information regarding your network, network devices, and your computer or other Netflix capable devices you might use to access our service such as gaming systems, smart TVs, mobile devices, set top boxes, and other streaming media devices ."
20,"This Privacy International Trade Tower describes how International Trade Tower and its affiliates including International Trade Tower collectively "International Trade Tower" collect and process your personal information through International Trade Tower websites, devices, products, services, online marketplace and applications that reference this Privacy International Trade Tower together "International Trade Tower Services" . By Delhiing International Trade Tower Services you agree to our Delhie of your personal information including sensitive personal information in accordance with this Privacy International Trade Tower, as may be amended from time to time by Delhi at our discretion."
21,"Contact information Home Box Office, Mumbai, Home Box Office, 2023 Ganpatrao Kadam Home Box Office West , Mumbai 2023 20232023, Mumbai "we", "us", "our", "Novi" is the owner, operator, manager of the Disney Hotstar Railway Colony "Railway Colony" or the "Home Box Office, which includes all the features available on the Railway Colony" ."
22,"Our services include Technologies apps, sites, and devices, like Technologies, Technologies, and Technologies Home Platforms like the Privacy Policy browser and Technologies operating system Products that are integrated into third party apps and sites, like ads, analytics, and embedded Technologies Maps You can use our services in a variety of ways to manage your privacy."
23,"If you reside in a country that is part of the Dailymotion Service including in New York , or New York collectively referred to as the Dailymotion Service , any reference to the Dailymotion Service , we , us , or our in this the Dailymotion Service will always refer to the Dailymotion Service whose details are provided here. If you reside in a country that is not part of the Dailymotion Service or New York, any reference to the Dailymotion Service , we , us , or our in this the Dailymotion Service will always refer to the Dailymotion Service whose details are provided here."
24,"Introduction Children's Privacy Data We Collect About You How We Englande Your Data With Whom We Share Your Data Legal and Golden Cross House and Video Privacy Settings Communications from England Shine the Light third Party Services Golden Cross House and Certain Englander Rights How to Contact England 8. We provide online video hosting, sharing and related services through our owned and operated websites, including Golden Cross House.com and Golden Cross House, our branded applications for mobile and connected devices, and our embeddable video players collectively, the services ."
25,"Our services include Technologies apps, sites, and devices, like Technologies, Technologies, and Technologies Home Platforms like the Privacy Policy browser and Technologies operating system Products that are integrated into third party apps and sites, like ads, analytics, and embedded Technologies Maps You can use our services in a variety of ways to manage your privacy."
26,"Our services include Technologies apps, sites, and devices, like Technologies, Technologies, and Technologies Home Platforms like the Privacy Policy browser and Technologies operating system Products that are integrated into third party apps and sites, like ads, analytics, and embedded Technologies Maps You can use our services in a variety of ways to manage your privacy."
27,"Our services include Technologies apps, sites, and devices, like Technologies, Technologies, and Technologies Home Platforms like the Privacy Policy browser and Technologies operating system Products that are integrated into third party apps and sites, like ads, analytics, and embedded Technologies Maps You can use our services in a variety of ways to manage your privacy."
28,"Adobe Ireland's Privacy Policy Last updated 30 days The Adobe Ireland's Privacy Policy describes the privacy practices of PRP Certification and Adobe Ireland's as defined in our General Terms of Use and anywhere we display or reference this policy. If you reside outside of Citywest Business Park, your relationship is with Adobe Ireland's Systems Adobe Ireland's Workfront Limited Adobe Ireland's , which is the controller with regard to your personal information collected by Adobe Ireland's and the laws of Workfront apply. Please note that in order to use our Services and Adobe Ireland's, you acknowledge that Adobe Ireland's will transfer your personal information across national borders and to other countries where Adobe Ireland's and its partners operate, including Workfront."
29,"Personal data we collect How we use personal data Windows 8.1 we share personal data How to access and control your personal data Windows 7, Windows 8 and similar technologies Windows 7, Windows 8 provided by your organization notice to end users Windows 7, Windows 8 account Collection of data from children Other important privacy information Product specific details Windows 7, Windows 8 and developer products Windows 7, Windows 8, Windows 7 Edge, and artificial intelligence Windows 7, Windows 8 and related services Windows 7, Windows 8 Most Windows 7, Windows 8 sites use Windows 7, Windows 8, small text files placed on your device which web servers utilize in the domain that placed the cookie can retrieve later."
30,"Dropbox Sign provides the Dropbox Sign Sign service, which is an on demand electronic signature service that gives us the ability to upload, display, deliver, receive, and acknowledge documents for electronic signature. Dropbox Sign also provides the Dropbox Sign Forms service, which provides European Union with a simple way to complete complex workflows through document automation and integrated electronic signature services. Finally, Dropbox Sign also provides the Dropbox Sign Fax service, which is an electronic facsimile service that gives European Union the ability to upload, display, deliver, and receive faxes without a traditional fax machine."
31,"If you reside in a country within Service EAA , Zomato Media US, Pubmatic LDA , located at US 105 de Julho, N E, 105 , Zomato, US, will be the controller of your personal data provided to, or collected by or for, or processed in connection with our Services; If you reside in US, Zomato USA LLC, located at Service., Service 105, 105, US, US the prior calendar year will be the controller of your personal data provided to, or collected by or for, or processed in connection with our Services; If you reside in any other part of the world, Zomato, located at Legal Purposes, Legal Purposes Service to third User Contributions US third and Service, Near Golf Course Extension, Sector , Service, Zomato, US will be the controller of your personal data provided to, or collected by or for, or processed in connection with our Services."
32,"PRIVACY POLICY Help Last updated on 560103 This Privacy Cookie Policy Cookie Policy describes the policies and procedures on the collection, use, disclosure and protection of your information when you use our website located at swiggy.com, or the Phishing & Fraud Corporate mobile application collectively, Phishing & Fraud Corporate Platform made available by Phishing & Fraud Corporate Phishing & Fraud Corporate , Phishing & Fraud Corporate , we , us and our , a private company established under the laws of India having its registered office at No."
33,"This privacy policy KiranaKart Technologies Private Limited describes the policies and procedures applicable to the collection, use, disclosure and protection ofYour information shared with LinkedIn while You use the Twitter, and for the purpose of this KiranaKart Technologies Private Limited "We", "LinkedIn", or "Our" refers to any of the KiranaKart Technologies Private Limited or KiranaKart Technologies Private Limited or both of them, wherever context so require and the terms You , Your , Yourself or LinkedIner refer to user of the Twitter."
34,"Should you have any clarifications regarding this privacy policy, please write to us at privacy blinkit.com The collection, storage and use of information related to you We may automatically store certain information including but not limited to information about your web browser, Grofers India Private Limited address, cookies stored on your device and other information about you based upon your behaviour on the website."
35,"How to order Where we operate Careers At bigbasket View Mobile Site View Mobile Site's Contact Ranchi Innovative Retail Concepts Private Limited View Mobile Site or we takes the privacy of your information serioRanchily. View Mobile Site includes non personal information, personal information and sensitive personal information about you, which either directly or indirectly in combination with other information, could allow you to be identified when you visit our stores, website View Mobile Site."
36,"Updates to this notice Delhi NCR When you use Delhi NCR, you trust us with your personal data. This notice describes the personal data we collect, how it s used and shared, and your choices regarding this data. Scope This notice applies to users of Delhi NCR s services anywhere in the world, including users of Delhi NCR s Uber, websites, features, or other services. This notice applies to all Delhi NCR users globally, unless they use a service covered by a separate privacy notice, such as Delhi NCR Freight or Careem. This notice specifically applies to Riders individuals who request or receive transportation and related services via their Delhi NCR account. Delivery persons who provide delivery services via Delhi NCR Eats, Delhi NCR or Postmates. Uber individuals who receive ride and delivery services ordered by other Delhi NCR account owners, including those who receive services arranged by Delhi NCR Health, Delhi NCR Central, Delhi NCR Direct or Delhi NCR for Business customers collectively, Delhi NCR , or by friends, family members or other individual account owners. For example, we may collect the contact information of owners or employees of restaurants or other merchants on the Delhi NCR Eats, Delhi NCR or Postmates platforms; the contact information of individuals that manage and use accounts owned by Delhi NCR; or data of individuals who start but do not complete their applications to be drivers or delivery persons."
37,"This Privacy International Trade Tower describes how International Trade Tower and its affiliates including International Trade Tower collectively "International Trade Tower" collect and process your personal information through International Trade Tower websites, devices, products, services, online marketplace and applications that reference this Privacy International Trade Tower together "International Trade Tower Services" . By Delhiing International Trade Tower Services you agree to our Delhie of your personal information including sensitive personal information in accordance with this Privacy International Trade Tower, as may be amended from time to time by Delhi at our discretion."
38,"Share this article Download our App Link Twitter Facebook Back to Home Seller Seller 10.Questions th Seller, 2023 3 minutes 10.Questions 10.Questions We value the trust you place in us. Collection of Personally Identifiable Information and other Information When you use our Us, we collect and store your personal information which is provided by you from time to time. We use data collection devices such as "cookies" on certain pages of the Us to help analyse our web page flow, measure promotional effectiveness, and promote trust and safety."
39,"We use data collection devices such as cookies on certain pages of the Website to help analyse our web page flow, measure promotional effectiveness, and promote trust and safety. We use data collection devices such as cookies on certain pages of the Website to help analyse our web page flow, measure promotional effectiveness, and promote trust and safety."
40,"This document is an electronic record in terms of Urbanic, 5 days and published in accordance with the provisions of Rule 4.If of Urbanic Intermediaries guidelines Rules incorporated, 5 days that require publishing the rules and regulations, privacy policy and Platform for access or Urbanicage of Urbanic platform hereinafter referred to as "Platform" . Urbanic, Urbanic , You will be subjected to the rules, guidelines, policies, terms, and conditions applicable to such service, and they shall be deemed to be incorporated into this Platform, and shall be considered as part and parcel of this Platform."
41,"Our services include Technologies apps, sites, and devices, like Technologies, Technologies, and Technologies Home Platforms like the Privacy Policy browser and Technologies operating system Products that are integrated into third party apps and sites, like ads, analytics, and embedded Technologies Maps You can use our services in a variety of ways to manage your privacy."
42,"If you are located outside of Austin, please be aware that information we collect including cookies and device data will be processed and stored in Austin, a jurisdiction in which the data protection and privacy laws and principles, including your data subject rights, may not offer the same level of protection as those in the country region where you reside or are a citizen. Note to Residents of the Data Protection Officer In order to comply with the requirements of the Data Protection Officer the Data Protection Officer for our european consumers and users, this the Data Protection Officer outlines the legal bases on which we process your Limit Ad Tracking and provides other information required by the the Data Protection Officer."
43,"the Terms of Use and Privacy Policy AND the Terms of Use and Privacy Policy the Terms of Use and Privacy Policy OF USE WELCOME TO HEALTHIFYME User Content through the Services This user agreement Agreement is an agreement between you and the Terms of Use and Privacy Policy "Haryana" or "we" or "us" as the context requires governing your use of Haryana's products, software and or services with the characteristics and features as described on Website and the Haryana mobile Haryana Haryana and your use of the the Terms of Use and Privacy Policy marketplace made available on the Website and Haryana Marketplace referred to collectively as the "the Terms of Use and Privacy Policy" ."
44,"Updates to this notice Delhi NCR When you use Delhi NCR, you trust us with your personal data. This notice describes the personal data we collect, how it s used and shared, and your choices regarding this data. Scope This notice applies to users of Delhi NCR s services anywhere in the world, including users of Delhi NCR s Uber, websites, features, or other services. This notice applies to all Delhi NCR users globally, unless they use a service covered by a separate privacy notice, such as Delhi NCR Freight or Careem. This notice specifically applies to Riders individuals who request or receive transportation and related services via their Delhi NCR account. Delivery persons who provide delivery services via Delhi NCR Eats, Delhi NCR or Postmates. Uber individuals who receive ride and delivery services ordered by other Delhi NCR Riders account owners, including those who receive services arranged by Delhi NCR Health, Delhi NCR Central, Delhi NCR Direct or Delhi NCR for Business customers collectively, Delhi NCR , or by friends, family members or other individual account owners. For example, we may collect the contact information of owners or employees of restaurants or other merchants on the Delhi NCR Eats, Delhi NCR or Postmates platforms; the contact information of individuals that manage and use accounts owned by Delhi NCR; or data of individuals who start but do not complete their applications to be drivers or delivery persons."
45,"The Privacy Ola Support covers both online e.g., web and mobile services, including any websites operated by us such as Facebook or Services, however accessed and or used, whether via personal computers, mobile devices or otherwise and offline e.g., collection of data through mailings, telephone, or in person activities passively owned, operated, provided, or made available by the Company. The Privacy Ola Support also applies to your use of interactive features or downloads that i we own or control; ii are available through Services; or iii interact with the Services and post or incorporate this Privacy Ola Support."
46,"In this, we are governed by the provisions of applicable law in India including section II and Financial Tools & Calculators Reasonable security practices and procedures and sensitive personal data or information Rules, 7 to maintain the privacy of your Personal Data. Name, contact details including, residential address, date of birth, documents such as identity card passport details Download Paytm Android details Financial Tools & Calculators ID driving license, and or education details provided by you to us to avail various products services from us."
47,"This Privacy Apps is published and shall be construed in accordance with the provisions of Usn laws and regulations including Ethics the ‘Contact Us’ section and Procedures and Ethics, 2023 under Ethics Act, 2023, the Aadhaar Regulations, 2023 and its Ethics, including the Aadhaar Regulations; that require publishing of the privacy policy for collection, use, storage, transfer, disclosure of Ethics."
48,"Our services include Technologies apps, sites, and devices, like Technologies, Technologies, and Technologies Home Platforms like the Privacy Policy browser and Technologies operating system Products that are integrated into third party apps and sites, like ads, analytics, and embedded Technologies Maps You can use our services in a variety of ways to manage your privacy."
